2024-11-20 12:02:34,924 | Level 25 | table add bgp_tag set_bgp_tag 2 f2:70:b8:f6:63:5d => 0
2024-11-20 12:02:34,954 | Level 25 | do_register_write switch_ip 0 3368601604
2024-11-20 12:02:34,954 | Level 25 | do_register_write threshold_registers 0 31
2024-11-20 12:02:34,954 | Level 25 | do_register_write threshold_registers 1 31
2024-11-20 12:02:34,954 | Level 25 | do_register_write threshold_registers 2 31
2024-11-20 12:02:34,954 | Level 25 | do_register_write threshold_registers 3 31
2024-11-20 12:02:34,954 | Level 25 | table add meta_fwtable set_meta 10.0.5.2/24 0 => 0 0 5
2024-11-20 12:02:34,955 | Level 25 | do_register_write next_hops_port 0 5
2024-11-20 12:02:34,955 | Level 25 | table add meta_fwtable set_meta 10.0.5.2/24 1 => 1 0 5
2024-11-20 12:02:34,955 | Level 25 | do_register_write next_hops_port 3 5
2024-11-20 12:02:34,956 | Level 25 | table add meta_fwtable set_meta 10.0.1.1/24 0 => 2 0 4
2024-11-20 12:02:34,956 | Level 25 | do_register_write next_hops_port 6 4
2024-11-20 12:02:34,956 | Level 25 | table add meta_fwtable set_meta 10.0.1.1/24 1 => 3 0 4
2024-11-20 12:02:34,956 | Level 25 | do_register_write next_hops_port 9 4
2024-11-20 12:02:34,956 | Level 25 | table add bgp_tag set_bgp_tag 2 aa:f7:af:92:76:d8 => 0
2024-11-20 12:02:34,956 | Level 25 | table add bgp_tag set_bgp_tag 1 3e:57:d8:f7:12:95 => 1
2024-11-20 12:02:34,996 | Level 25 | do_register_write switch_ip 0 3368601602
2024-11-20 12:02:34,996 | Level 25 | do_register_write threshold_registers 0 31
2024-11-20 12:02:34,997 | Level 25 | do_register_write threshold_registers 1 31
2024-11-20 12:02:34,997 | Level 25 | do_register_write threshold_registers 2 31
2024-11-20 12:02:34,997 | Level 25 | do_register_write threshold_registers 3 31
2024-11-20 12:02:34,997 | Level 25 | table add meta_fwtable set_meta 10.0.5.2/24 0 => 0 0 5
2024-11-20 12:02:34,997 | Level 25 | do_register_write next_hops_port 0 5
2024-11-20 12:02:34,997 | Level 25 | table add meta_fwtable set_meta 10.0.5.2/24 1 => 1 0 5
2024-11-20 12:02:34,997 | Level 25 | do_register_write next_hops_port 3 5
2024-11-20 12:02:34,997 | Level 25 | table add meta_fwtable set_meta 10.0.1.1/24 0 => 2 0 4
2024-11-20 12:02:34,997 | Level 25 | do_register_write next_hops_port 6 4
2024-11-20 12:02:34,997 | Level 25 | table add meta_fwtable set_meta 10.0.1.1/24 1 => 3 0 4
2024-11-20 12:02:34,997 | Level 25 | do_register_write next_hops_port 9 4
2024-11-20 12:02:34,997 | Level 25 | table add bgp_tag set_bgp_tag 1 06:7b:d5:4a:f3:15 => 1
2024-11-20 12:02:34,997 | Level 25 | table add bgp_tag set_bgp_tag 2 f2:bf:df:a7:23:fc => 0
2024-11-20 12:11:10,162 | Level 25 | do_register_write switch_ip 0 3368601601
2024-11-20 12:11:10,163 | Level 25 | do_register_write threshold_registers 0 31
2024-11-20 12:11:10,163 | Level 25 | do_register_write threshold_registers 1 31
2024-11-20 12:11:10,163 | Level 25 | do_register_write threshold_registers 2 31
2024-11-20 12:11:10,163 | Level 25 | do_register_write threshold_registers 3 31
2024-11-20 12:11:10,163 | Level 25 | table add meta_fwtable set_meta 10.0.5.2/24 0 => 0 1 3
2024-11-20 12:11:10,163 | Level 25 | do_register_write next_hops_port 0 3
2024-11-20 12:11:10,163 | Level 25 | do_register_write next_hops_port 1 2
2024-11-20 12:11:10,163 | Level 25 | do_register_write next_hops_port 2 6
2024-11-20 12:11:10,164 | Level 25 | table add meta_fwtable set_meta 10.0.5.2/24 1 => 1 1 3
2024-11-20 12:11:10,164 | Level 25 | do_register_write next_hops_port 3 3
2024-11-20 12:11:10,164 | Level 25 | do_register_write next_hops_port 4 2
2024-11-20 12:11:10,164 | Level 25 | do_register_write next_hops_port 5 6
2024-11-20 12:11:10,164 | Level 25 | table add meta_fwtable set_meta 10.0.1.1/24 0 => 2 0 1
2024-11-20 12:11:10,164 | Level 25 | do_register_write next_hops_port 6 1
2024-11-20 12:11:10,164 | Level 25 | table add meta_fwtable set_meta 10.0.1.1/24 1 => 3 0 1
2024-11-20 12:11:10,164 | Level 25 | do_register_write next_hops_port 9 1
